,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,,Def Interceptions,,,,,Fumbles,,,,,Unnamed: 17_level_0,Tackles,,,,,Unnamed: 23_level_0,Year
,Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,
46,47,Myles Garrett,CLE,29,DE,16,16,0,0,0,0,1,3,0,1,0,0,14.0,45,38,7,21,28,0,2024
47,48,Rashan Gary,GNB,27,DL,16,16,0,0,0,0,1,1,0,1,0,0,6.5,44,24,20,8,14,0,2024
48,49,Davon Godchaux,NWE,30,DT,16,16,0,0,0,0,1,0,0,0,0,0,0.0,63,22,41,1,1,0,2024
49,50,Jared Goff,DET,30,QB,16,16,0,0,0,0,0,0,6,2,0,0,0.0,0,0,0,0,0,0,2024
50,51,Christian Gonzalez,NWE,22,CB,16,16,2,2,0,2,11,0,0,1,63,1,0.0,59,50,9,1,1,0,2024
51,52,Carl Granderson,NOR,28,DE,16,16,0,0,0,0,3,1,0,0,0,0,5.5,56,33,23,8,13,0,2024
52,53,Jonathan Greenard,MIN,27,OLB,16,16,0,0,0,0,3,4,0,0,0,0,11.0,54,37,17,16,20,0,2024
53,54,Kyle Hamilton,BAL,23,S,16,16,1,0,0,0,9,2,0,1,8,0,2.0,104,74,30,4,6,0,2024
54,55,Trey Hendrickson,CIN,30,DE,16,16,0,0,0,0,5,2,0,0,0,0,14.0,41,30,11,16,31,0,2024
55,56,Daiyan Henley,LAC,25,LB,16,16,0,0,0,0,7,0,0,0,0,0,1.0,142,82,60,7,3,0,2024
56,57,Derrick Henry,BAL,30,RB,16,16,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,2024
57,58,Justin Herbert,LAC,26,QB,16,16,0,0,0,0,0,0,6,4,-6,0,0.0,0,0,0,0,0,0,2024
58,59,Cameron Heyward,PIT,35,DT,16,16,0,0,0,0,8,0,0,0,0,0,8.0,70,35,35,12,20,0,2024
59,60,Josh Hines-Allen,JAX,27,DE,16,16,0,0,0,0,2,1,0,1,13,0,8.0,45,26,19,10,19,0,2024
60,61,Malik Hooker,DAL,28,S,16,16,2,20,0,21,4,0,0,0,0,0,0.0,75,46,29,2,1,0,2024
61,62,Danielle Hunter,HOU,30,DE,16,16,0,0,0,0,3,1,0,0,0,0,12.0,46,31,15,17,23,0,2024
62,63,Lamar Jackson,BAL,27,QB,16,16,0,0,0,0,0,0,10,5,-28,0,0.0,0,0,0,0,0,0,2024
63,64,Michael Jackson,CAR,27,CB,16,16,1,1,0,1,14,0,0,0,0,0,0.0,72,57,15,3,0,0,2024
